symbol,entry_date,src,net_pnl_pct,eq_near_active,eqh_active_n,eql_active_n,eq_conflu
300126.SZ,20240130,EVENT,-8.2385,False,0,0,False
002166.SZ,20240131,EVENT,-4.6405,False,0,0,False
300888.SZ,20240131,EVENT,-10.8532,False,0,0,False
601600.SH,20240131,EVENT,-0.5276,False,0,0,False
688508.SH,20240131,EVENT,-4.3168,False,0,0,False
603977_SH.SH,20240109,CONT,-14.6161,,,,
002004.SZ,20240104,EVENT,-5.1924,False,0,0,False
000534.SZ,20240105,EVENT,-8.128,False,0,0,False
688420.SH,20240105,EVENT,-8.8198,False,0,0,False
688093.SH,20240109,EVENT,-4.5996,False,0,0,False
002555.SZ,20240117,EVENT,-5.8955,False,0,0,False
603727.SH,20240131,EVENT,-10.6743,False,0,0,False
002640.SZ,20240102,EVENT,-2.3567,False,0,0,False
600623.SH,20240110,EVENT,-0.8113,True,0,1,False
600803.SH,20240110,EVENT,2.4344,False,0,0,False
688349.SH,20240206,EVENT,0.5238,False,0,0,False
002093.SZ,20240219,EVENT,12.5788,False,0,0,False
300685.SZ,20240219,EVENT,5.3305,False,0,0,False
688068.SH,20240219,EVENT,2.7463,False,0,0,False
688237.SH,20240223,EVENT,4.4082,False,0,0,False
301353.SZ,20240227,EVENT,-2.5242,False,0,0,False
301225.SZ,20240228,EVENT,-0.4749,False,0,0,False
300835.SZ,20240201,EVENT,-3.4389,False,0,0,False
002266.SZ,20240207,EVENT,7.4661,False,0,0,False
300054.SZ,20240207,EVENT,9.4239,False,0,0,False
300171.SZ,20240207,EVENT,10.3431,False,0,0,False
300285.SZ,20240207,EVENT,1.6283,False,0,0,False
002008.SZ,20240208,EVENT,0.174,False,0,0,False
300910.SZ,20240208,EVENT,-1.6818,False,0,0,False
600109.SH,20240208,EVENT,0.1131,False,0,0,False
688596.SH,20240208,EVENT,13.8809,False,0,0,False
688646.SH,20240219,EVENT,5.7879,False,0,0,False
300143.SZ,20240220,EVENT,0.2419,False,0,0,False
001228.SZ,20240221,EVENT,9.0165,False,0,0,False
002885.SZ,20240221,EVENT,10.2801,False,0,0,False
301085.SZ,20240221,EVENT,19.1961,False,0,0,False
002093.SZ,20240222,EVENT,9.5353,False,0,0,False
603626.SH,20240222,EVENT,11.3687,False,0,0,False
002312.SZ,20240223,EVENT,-1.1487,False,0,0,False
003004.SZ,20240223,EVENT,20.2876,False,0,0,False
603111.SH,20240223,EVENT,12.6103,True,1,0,False
301366.SZ,20240226,EVENT,11.349,False,0,0,False
002520.SZ,20240228,EVENT,-6.5425,False,0,0,False
300100.SZ,20240228,EVENT,-0.2339,False,0,0,False
301072.SZ,20240228,EVENT,13.2575,False,0,0,False
002098.SZ,20240229,EVENT,9.9904,False,0,0,False
300597.SZ,20240229,EVENT,11.2254,False,0,0,False
301248.SZ,20240229,EVENT,18.5393,False,0,0,False
688244.SH,20240229,EVENT,5.8818,False,0,0,False
002180.SZ,20240202,EVENT,-4.6244,False,0,0,False
300702.SZ,20240202,EVENT,-4.5123,False,0,0,False
603990.SH,20240202,EVENT,-19.5712,False,0,0,False
688069.SH,20240202,EVENT,-12.4038,False,0,0,False
688606.SH,20240202,EVENT,-9.5947,True,0,1,False
000036.SZ,20240205,EVENT,-11.794,False,0,0,False
300128.SZ,20240205,EVENT,-13.5212,False,0,0,False
000869.SZ,20240207,EVENT,9.3268,False,0,0,False
002008.SZ,20240207,EVENT,8.8099,False,0,0,False
002532.SZ,20240207,EVENT,10.4622,False,0,0,False
002635.SZ,20240207,EVENT,11.1055,False,0,0,False
300128.SZ,20240207,EVENT,20.3522,False,0,0,False
300997.SZ,20240207,EVENT,21.5435,False,0,0,False
301071.SZ,20240207,EVENT,9.6276,False,0,0,False
600497.SH,20240207,EVENT,6.4053,False,0,0,False
600884.SH,20240207,EVENT,4.7077,False,0,0,False
601969.SH,20240207,EVENT,21.2073,False,0,0,False
688739.SH,20240207,EVENT,3.5306,False,0,0,False
300054.SZ,20240208,EVENT,8.1808,False,0,0,False
300285.SZ,20240208,EVENT,-2.7736,False,0,0,False
300463.SZ,20240208,EVENT,6.9316,False,0,0,False
300997.SZ,20240208,EVENT,15.9465,False,0,0,False
600120.SH,20240208,EVENT,2.8623,False,0,0,False
002635.SZ,20240219,EVENT,10.3078,False,0,0,False
300171.SZ,20240219,EVENT,-0.5752,False,0,0,False
300997.SZ,20240219,EVENT,11.7517,False,0,0,False
600210.SH,20240219,EVENT,0.0792,False,0,0,False
603039.SH,20240219,EVENT,2.6034,False,0,0,False
688088.SH,20240219,EVENT,-2.9683,False,0,0,False
688298.SH,20240219,EVENT,-3.466,False,0,0,False
600075.SH,20240220,EVENT,2.7139,False,0,0,False
301150.SZ,20240221,EVENT,3.7442,False,0,0,False
603096.SH,20240221,EVENT,9.17,False,0,0,False
688232.SH,20240221,EVENT,2.4755,False,0,0,False
300903.SZ,20240222,EVENT,31.2737,False,0,0,False
301225.SZ,20240222,EVENT,15.6263,False,0,0,False
301270.SZ,20240222,EVENT,6.0919,False,0,0,False
600645.SH,20240222,EVENT,0.9807,False,0,0,False
603596.SH,20240222,EVENT,0.7211,False,0,0,False
688593.SH,20240222,EVENT,5.9818,False,0,0,False
001299.SZ,20240223,EVENT,9.9431,False,0,0,False
002796.SZ,20240223,EVENT,24.4566,False,0,0,False
300135.SZ,20240223,EVENT,5.7779,False,0,0,False
300915.SZ,20240223,EVENT,-1.0384,False,0,0,False
301322.SZ,20240223,EVENT,1.6251,False,0,0,False
603119.SH,20240223,EVENT,10.9629,False,0,0,False
688195.SH,20240223,EVENT,9.4854,False,0,0,False
300597.SZ,20240226,EVENT,2.8111,False,0,0,False
300786.SZ,20240226,EVENT,7.3233,False,0,0,False
300801.SZ,20240226,EVENT,2.431,False,0,0,False
300828.SZ,20240226,EVENT,11.337,False,0,0,False
301116.SZ,20240226,EVENT,3.793,False,0,0,False
301225.SZ,20240226,EVENT,2.5283,False,0,0,False
603028.SH,20240226,EVENT,5.5648,False,0,0,False
603629.SH,20240226,EVENT,10.9389,False,0,0,False
002796.SZ,20240227,EVENT,6.9634,False,0,0,False
301085.SZ,20240227,EVENT,-3.4325,False,0,0,False
301125.SZ,20240227,EVENT,17.01,False,0,0,False
301158.SZ,20240227,EVENT,3.2037,False,0,0,False
688455.SH,20240227,EVENT,-2.5793,False,0,0,False
301282.SZ,20240228,EVENT,-5.7677,False,0,0,False
600580.SH,20240228,EVENT,-0.3441,False,0,0,False
688618.SH,20240228,EVENT,-7.346,False,0,0,False
002436.SZ,20240229,EVENT,8.9926,False,0,0,False
300095.SZ,20240229,EVENT,8.5767,False,0,0,False
300405.SZ,20240229,EVENT,0.7974,False,0,0,False
300981.SZ,20240229,EVENT,7.3386,False,0,0,False
300985.SZ,20240229,EVENT,12.0101,False,0,0,False
301300.SZ,20240229,EVENT,22.0613,False,0,0,False
688143.SH,20240229,EVENT,1.589,False,0,0,False
688320.SH,20240229,EVENT,15.3648,False,0,0,False
688383.SH,20240229,EVENT,9.5067,False,0,0,False
688432.SH,20240229,EVENT,8.6059,False,0,0,False
688543.SH,20240229,EVENT,8.3346,False,0,0,False
002373.SZ,20240201,EVENT,-2.5872,False,0,0,False
300702.SZ,20240201,EVENT,-1.551,False,0,0,False
600572.SH,20240201,EVENT,-6.5235,False,0,0,False
300997.SZ,20240202,EVENT,-7.4224,False,0,0,False
600989.SH,20240202,EVENT,-1.4112,False,0,0,False
688383.SH,20240202,EVENT,-10.6011,False,0,0,False
000878.SZ,20240207,EVENT,6.3051,False,0,0,False
002506.SZ,20240207,EVENT,13.4187,False,0,0,False
688333.SH,20240207,EVENT,16.243,False,0,0,False
002274.SZ,20240208,EVENT,10.6907,False,0,0,False
002402.SZ,20240208,EVENT,10.7276,False,0,0,False
002683.SZ,20240208,EVENT,0.4322,False,0,0,False
002895.SZ,20240208,EVENT,10.8289,False,0,0,False
002925.SZ,20240208,EVENT,9.5865,False,0,0,False
300138.SZ,20240208,EVENT,4.4358,False,0,0,False
300233.SZ,20240208,EVENT,17.7355,False,0,0,False
600536.SH,20240208,EVENT,22.2589,False,0,0,False
000818.SZ,20240219,EVENT,0.715,False,0,0,False
300128.SZ,20240219,EVENT,0.7783,False,0,0,False
300664.SZ,20240219,EVENT,-2.852,False,0,0,False
603416.SH,20240219,EVENT,-1.0686,False,0,0,False
605183.SH,20240219,EVENT,6.4054,False,0,0,False
300035.SZ,20240220,EVENT,7.5293,False,0,0,False
300395.SZ,20240220,EVENT,7.8138,False,0,0,False
301370.SZ,20240220,EVENT,6.2487,False,0,0,False
603067.SH,20240220,EVENT,2.7161,False,0,0,False
688166.SH,20240220,EVENT,15.569,False,0,0,False
002402.SZ,20240221,EVENT,4.3347,False,0,0,False
002457.SZ,20240221,EVENT,0.3094,False,0,0,False
002820.SZ,20240221,EVENT,8.869,False,0,0,False
300054.SZ,20240221,EVENT,3.8618,False,0,0,False
300656.SZ,20240221,EVENT,1.7421,False,0,0,False
301063.SZ,20240221,EVENT,20.6775,False,0,0,False
301206.SZ,20240221,EVENT,-2.8978,False,0,0,False
301317.SZ,20240221,EVENT,24.6896,False,0,0,False
301335.SZ,20240221,EVENT,10.3673,False,0,0,False
600212.SH,20240221,EVENT,13.5845,False,0,0,False
603111.SH,20240221,EVENT,27.3513,False,0,0,False
603166.SH,20240221,EVENT,9.046,False,0,0,False
603324.SH,20240221,EVENT,4.288,False,0,0,False
688237.SH,20240221,EVENT,7.8564,False,0,0,False
688255.SH,20240221,EVENT,21.0842,False,0,0,False
688291.SH,20240221,EVENT,16.0495,False,0,0,False
688435.SH,20240221,EVENT,23.8779,False,0,0,False
688478.SH,20240221,EVENT,3.91,False,0,0,False
688498.SH,20240221,EVENT,20.8127,False,0,0,False
001205.SZ,20240222,EVENT,6.9331,False,0,0,False
003019.SZ,20240222,EVENT,5.7335,False,0,0,False
300162.SZ,20240222,EVENT,11.4617,False,0,0,False
300642.SZ,20240222,EVENT,1.7279,False,0,0,False
300643.SZ,20240222,EVENT,9.3845,False,0,0,False
300978.SZ,20240222,EVENT,10.3234,False,0,0,False
301065.SZ,20240222,EVENT,6.8142,False,0,0,False
301280.SZ,20240222,EVENT,25.5601,False,0,0,False
600080.SH,20240222,EVENT,18.8741,False,0,0,False
600986.SH,20240222,EVENT,9.2804,False,0,0,False
603008.SH,20240222,EVENT,11.5673,False,0,0,False
603629.SH,20240222,EVENT,17.6311,False,0,0,False
605060.SH,20240222,EVENT,-0.1365,False,0,0,False
688173.SH,20240222,EVENT,36.2719,False,0,0,False
688432.SH,20240222,EVENT,8.6383,False,0,0,False
688486.SH,20240222,EVENT,10.2446,False,0,0,False
688628.SH,20240222,EVENT,3.7926,False,0,0,False
688699.SH,20240222,EVENT,10.1437,False,0,0,False
002910.SZ,20240223,EVENT,1.2663,False,0,0,False
300074.SZ,20240223,EVENT,16.8201,False,0,0,False
300378.SZ,20240223,EVENT,9.2436,False,0,0,False
300897.SZ,20240223,EVENT,10.8715,False,0,0,False
301068.SZ,20240223,EVENT,3.7606,False,0,0,False
301085.SZ,20240223,EVENT,1.8903,False,0,0,False
600199.SH,20240223,EVENT,7.7539,False,0,0,False
600543.SH,20240223,EVENT,8.0321,False,0,0,False
603356.SH,20240223,EVENT,14.9893,False,0,0,False
688356.SH,20240223,EVENT,2.7948,False,0,0,False
688519.SH,20240223,EVENT,11.8278,False,0,0,False
688528.SH,20240223,EVENT,9.0848,False,0,0,False
300232.SZ,20240226,EVENT,-0.7622,False,0,0,False
300331.SZ,20240226,EVENT,5.2826,False,0,0,False
300448.SZ,20240226,EVENT,9.8248,False,0,0,False
300629.SZ,20240226,EVENT,12.1887,False,0,0,False
300688.SZ,20240226,EVENT,1.4699,False,0,0,False
300845.SZ,20240226,EVENT,4.3561,False,0,0,False
300912.SZ,20240226,EVENT,3.4177,False,0,0,False
301033.SZ,20240226,EVENT,3.387,False,0,0,False
301059.SZ,20240226,EVENT,6.178,False,0,0,False
301222.SZ,20240226,EVENT,5.7781,False,0,0,False
301389.SZ,20240226,EVENT,12.9871,False,0,0,False
600232.SH,20240226,EVENT,13.1653,False,0,0,False
600525.SH,20240226,EVENT,2.8664,False,0,0,False
600699.SH,20240226,EVENT,-0.5099,False,0,0,False
603017.SH,20240226,EVENT,-0.3196,False,0,0,False
603321.SH,20240226,EVENT,4.1251,False,0,0,False
603687.SH,20240226,EVENT,7.3328,False,0,0,False
603726.SH,20240226,EVENT,14.0364,False,0,0,False
688383.SH,20240226,EVENT,3.7165,False,0,0,False
688478.SH,20240226,EVENT,-0.5297,False,0,0,False
300124.SZ,20240227,EVENT,7.1965,False,0,0,False
