symbol,entry_date,code,net_pnl_pct,reason,hold,mfe_r,mae_r,mfe_pct,mae_pct,ep,sl,tgt,risk_pct,rr_target,exit_px,rr_exit,signals,file
300751.SZ,20251208,300751,39.1957,TP_STRUCTURAL,3,2.4913160443849227,0.28708066638365126,39.815279891446956,4.588015683217006,133.391,112.07294999999999,165.36807499999998,15.981625446994178,1.4999999999999993,165.36807499999998,1.4999999999999998,W1_PROTECTED_LOW|扫损20241206|OB20251203|触POI20251204|收回20251205,300751_SZ_daily_750.json
300149.SZ,20250603,300149,38.9744,TP_STRUCTURAL,5,1.5510948905109476,0.062209688122096256,39.53488372093021,1.585623678646919,9.46,7.0488,13.076800000000002,25.488372093023266,1.5,13.076800000000002,1.5,W1_PROTECTED_LOW|扫损20231226|OB20250528|触POI20250529|收回20250530,300149_SZ_daily_750.json
688677.SH,20260331,688677,38.9622,TP_STRUCTURAL,3,1.5841278947796558,0.5244747759743457,30.076410339782143,9.95773045033328,49.208,39.86532,63.22202,18.986099821167294,1.5,63.22202,1.5,W1_PROTECTED_LOW|扫损20240315|OB20260326|触POI20260327|收回20260330,688677_SH_daily_750.json
688620.SH,20250206,688620,38.623,TP_STRUCTURAL,1,1.6819926332328778,0.8834968961697962,43.53333333333333,22.866666666666656,15.0,11.117700000000001,20.823449999999998,25.881999999999994,1.4999999999999998,20.823449999999998,1.4999999999999998,W1_PROTECTED_LOW|扫损20231211|OB20250124|触POI20250127|收回20250205,688620_SH_daily_750.json
300149.SZ,20250603,300149,38.0326,TP_STRUCTURAL,5,1.5510948905109476,0.062209688122096256,39.53488372093021,1.585623678646919,9.46,7.0488,13.076800000000002,25.488372093023266,1.5,13.076800000000002,1.5,W1_PROTECTED_LOW|扫损20231226|OB20250528|触POI20250529|收回20250530,300149_SZ_daily_750.json
300080.SZ,20240926,300080,37.9326,TP_STRUCTURAL,3,1.638146911519198,-0.05217028380634353,41.6445623342175,-1.3262599469495928,3.77,2.8116,5.2076,25.421750663129977,1.5,5.2076,1.4999999999999998,W1_PROTECTED_LOW|扫损20240606|OB20240923|触POI20240924|收回20240925,300080_SZ_daily_750.json
300295.SZ,20240927,300295,37.6351,TP_STRUCTURAL,2,1.7611533216442632,0.6740697447886235,32.05673758865248,12.269503546099303,14.1,11.5335,17.949749999999998,18.202127659574465,1.4999999999999996,17.949749999999998,1.4999999999999996,W1_PROTECTED_LOW|扫损20231206|OB20240924|触POI20240925|收回20240926,300295_SZ_daily_750.json
300622.SZ,20240731,300622,37.3262,TP_STRUCTURAL,10,2.564042850489053,-0.5808104331625527,64.14588673968771,-14.53041249126079,8.582,6.435,11.802500000000002,25.01747844325333,1.4999999999999998,11.802500000000002,1.5,W1_PROTECTED_LOW|扫损20240527|OB20240726|触POI20240729|收回20240730,300622_SZ_daily_750.json
300862.SZ,20240930,300862,36.9888,TP_STRUCTURAL,12,1.6909634190510694,0.18562115175661048,29.915899078894668,3.283940728874657,24.97,20.552400000000002,31.596399999999996,17.691629955947125,1.5000000000000004,31.596399999999996,1.5000000000000004,W1_PROTECTED_LOW|扫损20240109|OB20240925|触POI20240926|收回20240927,300862_SZ_daily_750.json
300159.SZ,20240508,300159,36.7059,TP_STRUCTURAL,11,1.7018379850238263,-0.5265686941897249,41.871921182266014,-12.955665024630536,2.03,1.53054,2.7791899999999994,24.603940886699498,1.4999999999999998,2.7791899999999994,1.4999999999999993,W1_PROTECTED_LOW|扫损20240327|OB20240430|触POI20240506|收回20240507,300159_SZ_daily_750.json
920006.BJ,20241016,920006,36.6174,TP_STRUCTURAL,3,1.8107372650746425,-0.04832023600620502,44.44444444444444,-1.1860174781523014,16.02,12.087900000000001,21.918149999999997,24.54494382022471,1.5,21.918149999999997,1.4999999999999996,W1_PROTECTED_LOW|扫损20240315|OB20241011|触POI20241014|收回20241015,920006_BJ_daily_750.json
301258.SZ,20240506,301258,36.5485,TP_STRUCTURAL,4,1.7737362990241006,0.6243221005889023,43.4547725968194,15.295269608670692,29.617,22.36113,40.500805,24.499003950433877,1.4999999999999996,40.500805,1.4999999999999993,W1_PROTECTED_LOW|扫损20231211|OB20240426|触POI20240429|收回20240430,301258_SZ_daily_750.json
300231.SZ,20240930,300231,36.3922,TP_STRUCTURAL,2,1.8860847666505924,1.0180571183625362,33.81364073006723,18.25168107588857,10.41,8.543700000000001,13.209449999999999,17.927953890489903,1.5,13.209449999999999,1.4999999999999996,W1_PROTECTED_LOW|扫损20231110|OB20240925|触POI20240926|收回20240927,300231_SZ_daily_750.json
300231.SZ,20240930,300231,36.3922,TP_STRUCTURAL,2,1.8860847666505924,1.0180571183625362,33.81364073006723,18.25168107588857,10.41,8.543700000000001,13.209449999999999,17.927953890489903,1.5,13.209449999999999,1.4999999999999996,W1_PROTECTED_LOW|扫损20231110|OB20240925|触POI20240926|收回20240927,300231_SZ_daily_750.json
920198.BJ,20240919,920198,35.8626,TP_STRUCTURAL,7,1.809320336493523,-0.28708772866871435,43.49919743178168,-6.90208667736758,6.23,4.732200000000001,8.476700000000001,24.04173354735152,1.5000000000000007,8.476700000000001,1.5000000000000009,W1_PROTECTED_LOW|扫损20240828|OB20240912|触POI20240913|收回20240918,920198_BJ_daily_750.json
600203.SH,20250806,600203,35.7447,TP_STRUCTURAL,5,1.6838724478091307,0.7387015370497824,28.187403993855618,12.365591397849474,13.02,10.840499999999999,16.289250000000003,16.739631336405537,1.5000000000000009,16.289250000000003,1.5000000000000002,W1_PROTECTED_LOW|扫损20250311|OB20250801|触POI20250804|收回20250805,600203_SH_daily_750.json
300977.SZ,20240627,300977,35.7323,TP_STRUCTURAL,2,1.6239422598307598,0.703086112493777,29.811536264991425,12.906910336950306,17.51,14.295599999999999,22.331600000000005,18.357509994288993,1.4999999999999998,22.331600000000005,1.5,W1_PROTECTED_LOW|扫损20231211|OB20240624|触POI20240625|收回20240626,300977_SZ_daily_750.json
688677.SH,20260331,688677,35.3408,TP_STRUCTURAL,3,1.5841278947796558,0.5244747759743457,30.076410339782143,9.95773045033328,49.208,39.86532,63.22202,18.986099821167294,1.5,63.22202,1.5,W1_PROTECTED_LOW|扫损20240315|OB20260326|触POI20260327|收回20260330,688677_SH_daily_750.json
