symbol,entry_date,exit_date,net_pnl_pct,reason,hold_bars,entry_price,exit_price,stop,target,mfe_r,mae_r,swing_date,sweep_date,response_date,causal_trace,prior20_volume_rank,t1_violation
688287.SH,20230630,20230703,2.504086,TP_STRUCTURAL,1.0,11.723,12.04,10.73952,12.04,0.64465,-1.019848,20230615,20230628,20230629,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
000638.SZ,20230719,20230721,4.065403,TP_STRUCTURAL,2.0,6.33,6.6,5.8905,6.6,5.824801,-0.227531,20230706,20230717,20230718,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
000830.SZ,20230801,20230808,-4.896266,SL,5.0,9.91,9.4446,9.4446,10.1,0.322303,-1.439622,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
002238.SZ,20230801,20230804,1.119648,TP_STRUCTURAL,3.0,6.82,6.91,6.4746,6.91,0.810654,-1.215981,20230713,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.8,False
300348.SZ,20230801,20230802,1.58112,TP_STRUCTURAL,1.0,10.106,10.286,9.10404,10.286,1.337379,-0.149707,20230712,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
301097.SZ,20230801,20230807,-4.210761,SL,4.0,32.06,30.77415,30.77415,33.309,2.701715,-2.022009,20230721,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
301127.SZ,20230801,20230814,2.342975,TP_STRUCTURAL,9.0,7.039,7.218,6.77655,7.218,3.330158,-0.956373,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.9,False
301129.SZ,20230801,20230802,2.640317,TP_STRUCTURAL,1.0,38.376,39.466,34.03224,39.466,0.688344,-2.612944,20230724,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
603318.SH,20230801,20230809,-6.651933,SL,6.0,8.353,7.81407,7.81407,8.423,2.041081,-1.076207,20230721,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.95,False
688131.SH,20230801,20230817,-9.554833,SL,12.0,41.473,37.59327,37.59327,44.587,0.307496,-2.049112,20230707,20230728,20230731,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.95,False
301269.SZ,20230802,20230830,6.36963,TIME20,20.0,101.68,108.36,96.3765,123.11,2.717074,-0.495899,20230724,20230731,20230801,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
603679.SH,20230802,20230824,-6.392308,SL,16.0,14.3,13.4145,13.4145,15.16,0.463015,-2.224732,20230713,20230731,20230801,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.95,False
603617.SH,20230808,20230811,2.735223,TP_STRUCTURAL,3.0,9.88,10.17,9.1872,10.17,0.606236,-0.79388,20230728,20230804,20230807,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
300642.SZ,20230810,20230821,-4.591643,SL,7.0,19.265,18.41895,18.41895,19.935,0.63826,-2.57668,20230717,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
301089.SZ,20230810,20230825,-16.366354,GAP_SL,11.0,63.96,53.62,55.6677,72.14,0.431726,-1.653341,20230802,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,0.85,False
301211.SZ,20230810,20230814,5.598065,TP_STRUCTURAL,2.0,16.54,17.499,14.6817,17.499,0.872303,-1.109616,20230802,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
600222.SH,20230810,20230821,-6.99358,SL,7.0,5.639,5.25591,5.25591,5.949,0.365449,-2.062179,20230721,20230808,20230809,prior_confirmed_unmitigated_swing_low -> high_volume_SSL_sweep_close_reclaim -> next_bar_close_breaks_sweep_high -> following_open_eligible,1.0,False
