symbol,entry_date,exit_date,net_pnl_pct,reason,hold_bars,entry_price,exit_price,sl_price,tp1_price,rr_realized,mfe_r,mae_r,event_date,zone_date,event_type,poi_type,story,market_state,trend_regime,trend_reason,signal_type,v88_combo,v83_takeover_type,v85_reason,v85_path,mtf_score,weekly_state,daily_state,m60_state,risk_pct,entry_semantic,sample_class,t1_violation
000338.SZ,20241028,20241029,2.4562,RUNNER_TRAIL,1.0,12.788,13.0111,12.5649,13.048,1.3831,2.0619,-0.9861,20241023,20241024,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BEAR_RISK,RECOVERY,BULL_CONTINUATION,1.7446,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000401.SZ,20260128,20260129,2.3775,RUNNER_TRAIL,1.0,4.73,4.8133,4.6467,4.8133,1.3254,2.521,0.4802,20260123,20260127,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,RECOVERY,BULL_CONTINUATION,BULL_CONTINUATION,1.7611,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000404.SZ,20260128,20260130,6.1194,RUNNER_TRAIL,2.0,6.7,6.8048,6.5952,7.11,3.9131805834093245,5.3448,-0.859,20260122,20260127,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,RECOVERY,BEAR_RISK,MIXED,1.5638,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000411.SZ,20250804,20250806,6.2431,RUNNER_TRAIL,2.0,10.796,10.9802,10.6118,11.47,3.6587851842105357,5.2656,-0.5971,20250730,20250731,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,BULL_CONTINUATION,1.7063,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000429.SZ,20251023,20251024,2.4282,RUNNER_TRAIL,1.0,11.55,11.7325,11.3675,11.83,1.5371480483782247,2.1923,-0.3837,20251020,20251021,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,ACCUMULATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,MIXED,MIXED,BEAR_RISK,1.5797,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000498.SZ,20250219,20250220,-1.5634,SL_HIT,1.0,5.43,5.3451,5.3451,5.756,-1.0000061958997761,0.2356,-1.0602,20250213,20250214,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,BULL_CONTINUATION,1.5634,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000513.SZ,20230614,20230615,-1.6556,SL_HIT,1.0,33.04,32.493,32.493,35.43,-0.9999800771659069,3.839,-1.3711,20230609,20230612,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,RANGE_TRANSITION,MIXED_STRUCTURE,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,BULL_CONTINUATION,1.6556,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000529.SZ,20250609,20250610,-1.4876,SL_HIT,1.0,5.94,5.8516,5.8516,6.17,-0.9999977777777793,1.2449,-1.2449,20250604,20250605,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,BULL_CONTINUATION,1.4876,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000529.SZ,20250721,20250722,-2.5004,SL_HIT,1.0,6.16,6.006,6.006,6.35,-1.000000637348628,1.0388,-1.0388,20250711,20250715,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,BULL_CONTINUATION,2.5004,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000529.SZ,20250721,20250722,-2.5004,SL_HIT,1.0,6.16,6.006,6.006,6.37,-1.000000637348628,1.0388,-1.0388,20250714,20250715,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,BULL_CONTINUATION,2.5004,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
